Date,SR1501,SR1503
10/1/06,388.2564,718.6352
11/1/06,387.3569,722.4058
12/1/06,386.2974,726.5847
1/1/07,388.7648,730.3372
2/1/07,390.6706,732.3786
3/1/07,395.5415,733.9637
4/1/07,390.827,733.5254
5/1/07,385.0565,729.9469
6/1/07,385.1881,730.8235
7/1/07,383.8548,733.9277
8/1/07,392.3878,736.9177
9/1/07,392.6971,742.6396
10/1/07,385.4725,745.5336
11/1/07,386.3258,750.7931
12/1/07,385.7427,753.8972
1/1/08,388.1498,757.3916
2/1/08,383.2539,759.6432
3/1/08,381.6611,765.1489
4/1/08,374.3689,766.8901
5/1/08,371.6917,766.0615
6/1/08,367.2936,769.2317
7/1/08,364.0404,773.5186
8/1/08,358.7641,777.9856
9/1/08,375.9653,783.2873
10/1/08,443.4971,788.6249
11/1/08,464.371,797.589
12/1/08,475.4533,803.1128
1/1/09,492.3985,804.974
2/1/09,516.1772,806.7512
3/1/09,524.0454,811.3924
4/1/09,479.5918,814.2323
5/1/09,469.9104,811.8607
6/1/09,474.4329,813.3557
7/1/09,475.0729,815.5712
8/1/09,462.2591,817.5226
9/1/09,476.3813,821.6234
10/1/09,471.5423,824.109
11/1/09,466.8456,828.384
12/1/09,456.8869,831.8123
1/1/10,455.3438,840.8544
2/1/10,460.8689,845.7178
3/1/10,448.4747,851.7218
4/1/10,435.2556,849.008
5/1/10,450.9209,843.6584
6/1/10,452.3715,843.3942
7/1/10,456.3073,845.2254
8/1/10,452.4675,847.573
9/1/10,457.2637,852.016
10/1/10,442.7754,857.2756
11/1/10,438.2102,864.1443
12/1/10,440.9123,868.4252
1/1/11,431.9029,872.6559
2/1/11,429.2327,875.9296
3/1/11,427.2666,877.61
4/1/11,418.0616,877.5403
5/1/11,414.1328,871.0713
6/1/11,419.2562,871.0277
7/1/11,415.1319,875.2069
8/1/11,432.7206,876.5913
9/1/11,459.685,878.7419
10/1/11,479.3003,884.6711
11/1/11,484.8112,894.2398
12/1/11,488.9284,901.5883
1/1/12,480.15,907.9703
2/1/12,455.1447,909.8161
3/1/12,453.5341,910.3385
4/1/12,464.0262,907.4827
5/1/12,481.9598,904.6182
6/1/12,497.1201,908.7887
7/1/12,476.0506,913.8908
8/1/12,468.57,916.6335
9/1/12,461.7471,920.6734
10/1/12,457.6833,925.3315
11/1/12,465.3061,931.6177
12/1/12,457.4771,933.7596
1/1/13,452.3181,937.5208
2/1/13,452.0515,942.1354
3/1/13,447.0774,949.0485
4/1/13,434.6477,949.6754
5/1/13,435.6183,946.5149
6/1/13,459.9339,945.9402
7/1/13,454.5652,945.6268
8/1/13,457.598,948.3172
9/1/13,465.4946,951.8869
10/1/13,462.8707,956.4144
11/1/13,464.4599,965.3301
12/1/13,462.5542,970.8675
1/1/14,469.2491,979.5481
2/1/14,472.4739,982.0295
3/1/14,469.8642,984.7199
4/1/14,464.627,982.8828
5/1/14,460.3534,979.7397
6/1/14,461.6085,981.4375
7/1/14,461.26,984.1366
8/1/14,467.5034,987.6715
9/1/14,469.3238,992.0335
10/1/14,479.1581,997.5188
11/1/14,482.8948,1005.5638
12/1/14,512.9275,1010.4918
1/1/15,521.7841,1009.5776
2/1/15,530.3527,1011.493
3/1/15,540.4359,1015.6113
4/1/15,541.2359,1012.9819
5/1/15,542.3985,1007.9233
6/1/15,549.5342,1009.6124
7/1/15,564.8901,1011.0925
8/1/15,586.2192,1013.2257
9/1/15,598.6347,1017.0218
10/1/15,590.2723,1022.2545
11/1/15,591.4385,1027.8355
12/1/15,604.4905,1032.0235
1/1/16,639.1951,1035.9589
2/1/16,657.1749,1040.4951
3/1/16,630.6727,1042.0275
4/1/16,621.9299,1038.7276
5/1/16,641.4172,1034.0956
6/1/16,662.9844,1035.2362
7/1/16,660.2396,1037.9353
8/1/16,656.9011,1040.8608
9/1/16,680.4594,1047.2167
10/1/16,673.6827,1053.5726
11/1/16,709.0415,1061.8091
12/1/16,729.3501,1066.7023
1/1/17,759.909,1084.8383
2/1/17,724.6391,1091.1072
3/1/17,689.9915,1097.8026
4/1/17,666.9416,1099.1522
5/1/17,667.93,1097.8375
6/1/17,646.7361,1100.5975
7/1/17,634.6903,1104.7593
8/1/17,633.1437,1110.2184
9/1/17,632.8344,1113.6924
10/1/17,665.7434,1120.7013
11/1/17,674.7138,1132.2551
12/1/17,677.7537,1138.9505
1/1/18,675.6204,1145.0017
2/1/18,662.3125,1149.3637
