DATE,LRUNTTTTMXQ156N
2000-01-01,2.29
2000-04-01,2.55666666666667
2000-07-01,2.85333333333333
2000-10-01,2.32666666666667
2001-01-01,2.88
2001-04-01,2.55
2001-07-01,2.78333333333333
2001-10-01,2.81333333333333
2002-01-01,3.23
2002-04-01,2.86
2002-07-01,3.13
2002-10-01,2.69333333333333
2003-01-01,3.07666666666667
2003-04-01,2.96
2003-07-01,4.03666666666667
2003-10-01,3.55
2004-01-01,4.02333333333333
2004-04-01,3.66
2004-07-01,4.24333333333333
2004-10-01,3.73666666666667
2005-01-01,3.848670274862
2005-04-01,3.4820516968878
2005-07-01,3.78476881607185
2005-10-01,3.12306428137954
2006-01-01,3.53242354559016
2006-04-01,3.13648410218743
2006-07-01,3.99178832116788
2006-10-01,3.59445210870127
2007-01-01,3.94740686548756
2007-04-01,3.33220794351121
2007-07-01,3.84403977889335
2007-10-01,3.46257368844091
2008-01-01,3.8775179214795
2008-04-01,3.43731658099198
2008-07-01,4.11855383439625
2008-10-01,4.18142905912151
2009-01-01,5.00345864728235
2009-04-01,5.11253380517543
2009-07-01,6.14579548045595
2009-10-01,5.23494783390212
2010-01-01,5.29430712849959
2010-04-01,5.16048518950512
2010-07-01,5.56503805486445
2010-10-01,5.29466146361379
2011-01-01,5.15275609394859
2011-04-01,5.23527775047274
2011-07-01,5.53863033422765
2011-10-01,4.85504789837395
2012-01-01,4.91420071411776
2012-04-01,4.80562085202106
2012-07-01,5.10722253623112
2012-10-01,4.8632605491886
2013-01-01,4.89502852485096
2013-04-01,5.00933166833234
2013-07-01,5.23728237766308
2013-10-01,4.63098332917262
2014-01-01,4.80628044544991
2014-04-01,4.89072887900075
2014-07-01,5.24351767567328
2014-10-01,4.38432575170222
2015-01-01,4.23355000963124
2015-04-01,4.34715173410105
2015-07-01,4.59809463041867
2015-10-01,4.16379656220072
2016-01-01,4.04398079021254
2016-04-01,3.93349292247705
2016-07-01,4.02698090093934
2016-10-01,3.53684292344933
2017-01-01,3.3937530317583
2017-04-01,3.45888999071572
2017-07-01,3.55209126223574
2017-10-01,3.34717647545357
